status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,category
1549061578692287_2021387448126362,Vamos tomar chopp hoje😍,,photo,https://www.facebook.com/HellsBarNBurgers/photos/a.1706027922995651.1073741829.1549061578692287/2021387421459698/?type=3,2018-04-05 05:47:53,5,0,0,5,0,0,0,0,0,0,N/A
1549033165419320_2139793586343272,"Todo mundo curte um hot roll. E quem negar, mentiu. 😎 

Abrimos às 18h00!
🎌 Batista Campos - Rua dos Pariquis, 1712
🎌 Av. Senador Lemos, 356 🎌 Av. Duque de Caxias, 510 
Delivery:
2121-4463",Timeline Photos,photo,https://www.facebook.com/sushiboulevard/photos/a.1576384469350856.1073741828.1549033165419320/2139793586343272/?type=3,2018-05-30 15:22:24,6,1,1,6,0,0,0,0,0,0,2
1549061578692287_2042133349385105,Mesa cheia é mesa alegre!,Timeline Photos,photo,https://www.facebook.com/HellsBarNBurgers/photos/a.1549898511941927.1073741828.1549061578692287/2042133349385105/?type=3,2018-05-21 17:00:40,8,0,0,8,0,0,0,0,0,0,N/A
380000952157262_965919786898706,Nosso Filé com Molho de Vinho é fabuloso! Ele ainda acompanha um delicioso risoto de funghi. Venha apreciar os sabores do Vegas! #VegasRestaurante #VivaVegas,Timeline Photos,photo,https://www.facebook.com/VegasClubBelem/photos/a.380107192146638.1073741828.380000952157262/965919786898706/?type=3,2018-03-23 16:03:05,2,0,2,2,0,0,0,0,0,0,2
1491715331132829_1777940962510263,"Daqui a pouco tem Malino’s Hein!
🍔🍺🍟😍",Timeline Photos,photo,https://www.facebook.com/malinosburger/photos/a.1491719347799094.1073741827.1491715331132829/1777940962510263/?type=3,2018-01-21 12:56:21,8,0,0,7,1,0,0,0,0,0,2
1549061578692287_2018356398429467,"Você sabia que além de hambúrgueres,temos também Coquetel de Fruta😲
Isso mesmo, então vc já sabe☺☺☺",Timeline Photos,photo,https://www.facebook.com/HellsBarNBurgers/photos/a.1549898511941927.1073741828.1549061578692287/2018356398429467/?type=3,2018-03-29 16:34:05,9,0,1,7,2,0,0,0,0,0,2
325932867434253_1979059738788216,"Que esse é um dos pratos mais famosos e respeitados aqui em Belém, todos já sabem. Mas só dá para descobrir o motivo provando. Venha experimentar o Vatapá do Point e se surpreenda! 😉 👏 👌

👉 Point Aquários
- Municipalidade, nº 897, esquina da Wandenkolk.
- (91) 3223-1686 / 3085-7229.
- Domingo – 8h às 17h. Segunda a sábado – 8h às 22h30.",Timeline Photos,photo,https://www.facebook.com/pointdoacaibelem/photos/a.329123890448484.90410.325932867434253/1979059738788216/?type=3,2018-02-03 11:00:21,155,7,5,135,14,5,0,1,0,0,2
145954288799317_1757689817625748,"30ª ED. DO T.D.O. (Tributo Duplo Oficial)
LEGIÃO URBANA E CHARLIE BROWN JR

Há cerca de 5 anos, Chorão e Champignon, dois ícones da geração 90, foram fazer um som no plano superior. E com uma enxurrada de mensagens via face, insta e zap, a galera pediu que essa cabalística 30ª edição do T.D.O. traga logo os caras do CBJR Cover pra mandar os hits e lados B do CHARLIE BROWN JR. E claro, tem também a TomaRock fazendo sua já tradicional reverência à oitentista LEGIÃO URBANA, botando a galera pra cantar e pular do início ao fim da noite. E entre as bandas, o set matador do DJ Junior Beats, fazendo o Studio Pub ferver!

O quê? Ainda não foste em nenhuma edição da festa? Procura saber com a galera sobre as anteriores e se liga nas promos que ainda dá tempo. São 3 p*ta atrações por preços promocionais (de verdade):

INGRESSOS
Primeiro lote: R$ 15,00
Segundo lote: R$ 20,00
Terceiro lote: R$ 30,00

Ingressos à venda na bilheteria do Studio Pub (Pres Pernambuco, 277, no início da Gentil), de terça a sábado, a partir das 18h.

Dúvidas? StudioPubWhatsApp
(91) 99161-3677",,photo,https://www.facebook.com/studiopubfanpage/photos/a.371665246228219.84780.145954288799317/1757689667625763/?type=3,2018-03-12 16:49:20,1299,115,109,1083,173,37,1,5,0,0,N/A
178720798844054_1561622310553889,"Comente #EU QUERO e Ganhe uma mesa + lista de 20 amigos GRÁTIS.

Sexta. Inauguração Sambôtequim
• Nosso tom: Sorriso moleque: Vaguinho Db: Resenha: De Bobeira.
• 03 horas de open bar e balde RS20 a noite toda.

Sorteio sexta as 10h
informações 98968-3496/98146-5107",,video,https://www.facebook.com/BotequimBelemOficial/videos/1561622310553889/,2018-03-07 22:46:34,4,3,1,4,0,0,0,0,0,0,N/A
112391578845293_1670342286383540,Quinta é um ótimo dia para estar aqui conosco e ter o melhor almoço da cidade.,Timeline Photos,photo,https://www.facebook.com/ManjarDasGarcas/photos/a.331110726973376.80487.112391578845293/1670342286383540/?type=3,2018-05-03 10:38:11,11,1,1,11,0,0,0,0,0,0,2
145954288799317_1759026404158756,Preparados para o maior St Patrick’s Day da Cidade??? Garanta seu ingresso !!! #StudioPubBelem,Timeline Photos,photo,https://www.facebook.com/studiopubfanpage/photos/a.371665246228219.84780.145954288799317/1759026404158756/?type=3,2018-03-13 21:21:16,8,1,1,7,1,0,0,0,0,0,N/A
145954288799317_1717239798337417,"Sentiram falta do velho rock N’ roll nacional? A gente entende! Prepare as distorções para essa noite porque as bandas Alta Frequência e Rock N’ Trio, que vão relembrar os melhores sucessos das bandas Detonautas, Raimundos, O Rappa e CPM 22! Um tributo especial para músicas inesquecíveis!
.
Ingressos:
Antecipados: R$15
.
Onde comprar:
Studio Pub - Tv. Presidente Pernambuco, 277.
De terça à sexta, a partir das 18h.
.
Entrada exclusiva para maiores de 18 anos, sendo obrigatório apresentação de documento oficial e com foto.
.
OBS.: Não aceitaremos mais identidades com foto de criança ou manchadas por conta da dificuldade de identificação.
.
Mais informações:
Tel: 3252-1413 / 91 99161-3677
Instagram: @studiopubbelem | Facebook: studiopubbelem",Timeline Photos,photo,https://www.facebook.com/studiopubfanpage/photos/a.371665246228219.84780.145954288799317/1717239798337417/?type=3,2018-02-02 11:38:22,5,0,0,4,1,0,0,0,0,0,N/A
401325173272384_1904485316289688,"Aproveite os sabores do Capone Ristorante, com o buffet de almoço e nosso menu à la carte no jantar.

#caponeristorante #estaçãodasdocas #",,photo,https://www.facebook.com/CaponeRistorante/photos/a.632808303457402.1073741828.401325173272384/1904485256289694/?type=3,2018-04-15 10:01:03,4,0,0,4,0,0,0,0,0,0,2
1549061578692287_1980469502218157,"Aquele momento que você fica🤔🤔🤔🤔
Seja bem criativo, e finalize a frase marcando uma Pessoa...Vamos lá🤗🤗🤗",,photo,https://www.facebook.com/HellsBarNBurgers/photos/a.1706027922995651.1073741829.1549061578692287/1980469488884825/?type=3,2018-01-17 14:29:50,35,17,1,30,1,1,3,0,0,0,N/A
121706961234724_1919128551492547,"Vamos nos ver hoje? Vem pro nosso rodízio! É das 12h às 15h, incluindo entradas, rolls, sashimis, gukans e sushi à vontade. R$69 por pessoa.
Postando com #ExecutivoSRB e nos marcando, você leva um Nespresso grátis. 
📸@diegobastos3
#belém #pará #sushilovers #culinária #amazônia #sushi #gastronomia #cozinhaasiática #rodízio",Timeline Photos,photo,https://www.facebook.com/SushiRuyBarbosa/photos/a.212123888859697.52109.121706961234724/1919128551492547/?type=3,2018-03-01 08:01:31,2,0,0,2,0,0,0,0,0,0,2
1778197969091937_2024814744430257,"No Jack você saboreia uma Pink Limonade geladinha, para aliviar o calor!",,photo,https://www.facebook.com/jackgarageoficial/photos/a.1958996984345367.1073741829.1778197969091937/2024814707763594/?type=3,2018-01-30 14:42:18,8,0,0,8,0,0,0,0,0,0,2
473765826091943_1213877838747401,"Nada melhor que um risotto para começar bem essa quinta-feira. Hoje esse delicioso arroz paraense ou qualquer um dos nossos risottos sai a R$29 pedindo pelo app Santé Delivery com cupom de desconto. Aproveita!

#Saudável #gostoso #saúde #fitness #comida #quefazbem #gastronomia #food #healthyfood #força #foco #fé",Timeline Photos,photo,https://www.facebook.com/SanteSaudavel/photos/a.477306952404497.1073741828.473765826091943/1213877838747401/?type=3,2018-03-29 07:15:14,0,0,0,0,0,0,0,0,0,0,N/A
339885999423004_1704520099626247,"Quinta das amigas é no Villa Aurora !!! Nesta primeira quinta de junho tem Baladeros, Betto e Naldo, dj Renato Sandres e o modão de Rick e Ramon. 🎈🎈🎁🎁🎉🎉Aniversariantes 🎈🎈🎁🎁🎉🎉 de junho tem direito a uma lista free válida até as 23:30h e entrando 10 pessoas da sua lista até este horário, você ganha uma garrafa de VODKA de presente 😱😱😱. Informações & reservas 98294-1815 !! O villa é o villa !!",,photo,https://www.facebook.com/ovillaeovilla/photos/a.479713348773601.1073741826.339885999423004/1704520066292917/?type=3,2018-06-04 19:51:27,1068,1,4,1057,8,3,0,0,0,0,N/A
767414033274068_2095983450417113,"Quem disse que salada não satisfaz? As nossas saladas são do tamanho da sua fome, com ingredientes diferenciados e selecionados pela nossa cozinha descontaminada! A nossa Salada Caprese tem mix de folhas, tomates, abóbora assada no melaço de cana com pesto paraense. Estamos localizados na Tv. Dom Pedro I, 546.",Timeline Photos,photo,https://www.facebook.com/graoculinariasaudavel/photos/a.809742745707863.1073741828.767414033274068/2095983450417113/?type=3,2018-04-20 09:30:49,11,0,0,11,0,0,0,0,0,0,2
121706961234724_1971002316305170,"Quinta-feira já é quase sexta, né? Então vem saborear e se refrescar com os nossos deliciosos drinks essa noite. Conta pra gente, qual o seu favorito? 

#belém #pará #sushilovers #culinária #amazônia #drinksi #gastronomia",Timeline Photos,photo,https://www.facebook.com/SushiRuyBarbosa/photos/a.212123888859697.52109.121706961234724/1971002316305170/?type=3,2018-04-05 18:00:58,4,0,0,4,0,0,0,0,0,0,2
1549061578692287_1984191798512594,Que tiro foi esse😲😲😲,,video,https://www.facebook.com/HellsBarNBurgers/videos/1984191798512594/,2018-01-24 06:50:21,25,4,0,10,3,0,12,0,0,0,0
2088581698033618_2537230369835413,"Aqui no Iron é Happy Hour todos os dias, porque nossos clientes merecem umas horinhas de relaxamento depois do job! Fechou essa noite aqui no Iron hoje? Sim ou com cerveja? Portas abertas às 18h. 🤘

#beer #cerveja #litrão #pub #melhorescervejas #beerlovers #beeradict #cerveza #happyhour #cervejagelada #cervejao #cervejartesanal #cervejando #cervejaoliquidosagrado #IronBelem #PubBelem",Timeline Photos,photo,https://www.facebook.com/ironpuboficial/photos/a.2091514204407034.1073741828.2088581698033618/2537230369835413/?type=3,2018-05-15 11:01:45,0,0,0,0,0,0,0,0,0,0,2
439090186164520_1916941218379402,"Nosso morango split é uma delícia e um dos mais pedidos! R$ 25,99",Timeline Photos,photo,https://www.facebook.com/megustacreamery/photos/a.562780890462115.1073741837.439090186164520/1916941218379402/?type=3,2018-02-08 14:27:46,126,40,2,86,24,16,0,0,0,0,2
182758208432417_1916964221678465,"Quer fazer parte da nossa família? Envie seu currículo 👆🏻
.
#FamigliaSicilia #Oportunidades #Temosvagas #vagasdeempregobelem",Timeline Photos,photo,https://www.facebook.com/famigliasicilia/photos/a.362185010489735.74117.182758208432417/1916964221678465/?type=3,2018-04-10 11:22:38,4,1,1,4,0,0,0,0,0,0,N/A
382292181979997_841596876049523,"Bolinhas de carne recheadas com queijo gorgonzola. 
Sério mesmo, é diliça!",,photo,https://www.facebook.com/091barboutique/photos/a.382298751979340.1073741828.382292181979997/841596849382859/?type=3,2018-03-27 15:42:51,11,1,1,7,4,0,0,0,0,0,2
284867051585421_1858087267596717,"Venha aproveitar o variado cardápio do seu Dom Spetto. E agora com uma novidade: você escolhe uma das nossas opções de proteína no cardápio e se serve no buffet! 🤤 Isso tudo de segunda à Domingo, hein? Chama os amigos pra aproveitar essa delicia! 😋 #vemprodom #obomdodom #almoco #domspetto",Timeline Photos,photo,https://www.facebook.com/DomSpetto/photos/a.287258938012899.65679.284867051585421/1858087267596717/?type=3,2018-02-15 10:02:50,1,2,0,1,0,0,0,0,0,0,N/A
284867051585421_2016820668390042,"Almoce em um ambiente confortável, aconchegante, onde a comida é deliciosa, com preço justo e com atendimento de qualidade.",,photo,https://www.facebook.com/DomSpetto/photos/a.603290106409779.1073741828.284867051585421/2016820598390049/?type=3,2018-05-26 09:04:51,3,0,0,3,0,0,0,0,0,0,N/A
401325173272384_1858202837584603,"Venha ao Capone saborear as nossas pizzas e pratos à la carte.

#estaçãodasdocas #caponeristorante #belém",,photo,https://www.facebook.com/CaponeRistorante/photos/a.632808303457402.1073741828.401325173272384/1858202807584606/?type=3,2018-03-12 15:12:30,7,0,0,6,0,1,0,0,0,0,2
380000952157262_997836560373695,"Nosso Filé com Molho de Vinho está esperando por você. Ambiente agradável e culinária deliciosa, você encontra no Vegas.",Timeline Photos,photo,https://www.facebook.com/VegasClubBelem/photos/a.380107192146638.1073741828.380000952157262/997836560373695/?type=3,2018-05-22 09:03:10,4,0,2,4,0,0,0,0,0,0,2
145954288799317_1835396523188410,Garota de Berlim ao VIVO no #studiopubbelem ! #Supla,,video,https://www.facebook.com/studiopubfanpage/videos/1835396523188410/,2018-05-27 09:21:07,31,3,1,25,2,2,2,0,0,0,1
1075223355877711_1668088699924504,"Hoje é sábado.
Hoje é feriado.
E hoje também é dia da feijoada mais gostosa da cidade: a feijoada #ElPatron. 
Suculenta e completinha, com todos aqueles complementos que você ama! 😉
...
⏰ Das 12h às 16h. 📍Rua Antonio Barreto, 127.
#FeijoadaElPatron #Sábado #Almoço #Feriado",Timeline Photos,photo,https://www.facebook.com/elpatronbelem/photos/a.1086193118114068.1073741828.1075223355877711/1668088699924504/?type=3,2018-04-21 09:14:22,3,0,0,3,0,0,0,0,0,0,2
1796979683923262_2052696315018263,"Força (e fries) para as minas! 🙆‍♀😎 
⠀
Hoje é dia delas e aqui no SPOT tem OPEN FRIES o dia inteiro: mulheres que comprarem a 1ª porção de fries têm direito a um dia todinho de batata por conta da casa. Vem comemorar teu dia com a gente! 
⠀
Hoje vamos até 23hrs!",Timeline Photos,photo,https://www.facebook.com/burgerspotbra/photos/a.1827252277562669.1073741828.1796979683923262/2052696315018263/?type=3,2018-03-08 10:06:58,102,32,5,70,21,4,7,0,0,0,4
767414033274068_2017276124954513,"A omelete de camarão com alho poró é aquele prato colorido e delicioso. Ao realizar seu pedido, você decide se prefere a omelete com ou sem gema. Funcionamento normal até às 22h!",Timeline Photos,photo,https://www.facebook.com/graoculinariasaudavel/photos/a.809742745707863.1073741828.767414033274068/2017276124954513/?type=3,2018-02-12 16:01:55,11,1,1,10,0,1,0,0,0,0,2
550551258323885_1716029015109431,Sábadão é dia de curtir aquela feijoada esperta! <3,,photo,https://www.facebook.com/Armazemdomoreira/photos/a.558617040850640.1073741828.550551258323885/1716028561776143/?type=3,2018-05-25 11:35:09,280,5,4,271,7,2,0,0,0,0,2
1778197969091937_2022912461287152,Hoje temos uma desculpa para sair da dieta e correr pro Jack para comemorar! #diadagula #Jackgarage,,photo,https://www.facebook.com/jackgarageoficial/photos/a.1782887378622996.1073741827.1778197969091937/2022912417953823/?type=3,2018-01-26 18:38:08,4,0,0,4,0,0,0,0,0,0,0
121706961234724_1902766569795412,"Que tal experimentar uma combinação regional que não tem como dar errado? Salmão + queijo do Marajó + pesto de jambu. 🐟
#belém #culinária #amazônia #sushi #gastronomia #cozinhaasiática #salmão #queijo #peixe #queijodomarajó #jambu",,video,https://www.facebook.com/SushiRuyBarbosa/videos/1902766569795412/,2018-02-17 18:31:12,5,0,0,4,0,1,0,0,0,0,2
145954288799317_1848819991846063,"Em meados de 2012, um grupo de amigos decidiu criar a banda Cornerstone com o objetivo executar e compartilhar a boa música dos ícones britânicos do indie rock: Arctic Monkeys. 
E no sábado, dia 09 de Junho, a gente te espera pra cantar parabéns e celebrar esses 06 anos de banda, com 2h de show da Cornerstone, muita animação e claro, a Heineken mais gelada da cidade! 
Estão prontos para enlouquecer ao som de “Dancing Shoes”, “Teddy Picker”, “Fluorescent Adolescent”, “Do I Wanna Now”, “Four Out Of Five” e muito mais? 
E não para por aí... A abertura dessa incrível festa fica por conta da Oasis Cover, recheando o aniversário com mais uma dose de clássicos britânicos. Você não vai ficar de fora dessa, né?

Lineup:
22h – DJ Junior Soares
00h – Oasis Cover – Gas Panic!
02h – Arctic Monkeys Cover – Cornerstone

Ingressos:
Antecipados: R$15
Na hora: R$20 o primeiro lote

Onde comprar:
Studio Pub - Tv. Presidente Pernambuco, 277.
De terça à sexta, a partir das 18h.

Entrada exclusiva para maiores de 18 anos, sendo obrigatório apresentação de documento oficial e com foto.
OBS.: Não aceitaremos mais identidades com foto de criança ou manchadas por conta da dificuldade de identificação.

Mais informações:
Tel: 3252-1413 / 91 99161-3677
Instagram: @studiopubbelem | Facebook: studiopubbelem",Timeline Photos,photo,https://www.facebook.com/studiopubfanpage/photos/a.371665246228219.84780.145954288799317/1848819991846063/?type=3,2018-06-09 08:50:18,2,0,0,2,0,0,0,0,0,0,N/A
311171809017014_1246566112144241,Copinho de morango pra essa sexta-feira maravilhosa! 🍦🍓💗 #amelhordobrasil #cairu #amocairu #sorvetescairu,Timeline Photos,photo,https://www.facebook.com/Sorveteriacairuoficial/photos/a.311356992331829.1073741828.311171809017014/1246566112144241/?type=3,2018-02-02 17:58:39,60,0,1,50,7,1,0,2,0,0,2
145954288799317_1749825055078891,"Vamos combinar que a geração nascida nos anos 90 merece mais espaço na noite da cidade, né? Pensando nisso, o Studio Pub preparou um evento especial para essa galera que curte uma baladinha Indie pra gente relembrar a adolescência. Indie também é Rock!! No dia 09 de Março, as maiores bandas Indies farão sua noite mais feliz com os sucessos mais tocantes dessas feras! You only live once, então que tal Stop crying your heart out e vir acompanhar esses shows do Oasis, The Strokes e Arctic Monkeys cover junto com a gente? R U Mine na Sexta-feira? 
.
Ingressos:
Antecipados: R$15
.
Onde comprar:
Studio Pub - Tv. Presidente Pernambuco, 277.
De terça à sexta, a partir das 18h.
.
Entrada exclusiva para maiores de 18 anos, sendo obrigatório apresentação de documento oficial e com foto.
.
OBS.: Não aceitaremos mais identidades com foto de criança ou manchadas por conta da dificuldade de identificação.
.
Mais informações:
Tel: 3252-1413 / 91 99161-3677
Instagram: @studiopubbelem | Facebook: studiopubbelem",Timeline Photos,photo,https://www.facebook.com/studiopubfanpage/photos/a.371665246228219.84780.145954288799317/1749825055078891/?type=3,2018-03-05 15:22:32,1094,69,36,937,128,23,4,2,0,0,N/A
380000952157262_996350713855613,Sábado animado começa no Vegas. A festa inicia a partir das 14h30 com o pagode do grupo 100 Abuso e Velha Guarda Irreverência.,Timeline Photos,photo,https://www.facebook.com/VegasClubBelem/photos/a.380107192146638.1073741828.380000952157262/996350713855613/?type=3,2018-05-19 09:03:11,0,0,0,0,0,0,0,0,0,0,N/A
330942283968047_512683592460581,"Chegou a SEXTA e estamos em clima de aniversário. Venha comemorar esse niver conosco ouvindo muito rock regado a muito chopp!
PROMOS:
Chopp Amazon Beer em DOBRO das 17h às 21h. E após, R$ 6 a noite toda!
Caipirinha e SHOT em DOBRO da 00h a 01h.
Welcome Drink para as luluzinhas.
No comando do som: Nelinho Brasil e Nirvana Cover.",,photo,https://www.facebook.com/heisenbergpubbelem/photos/a.436875330041408.1073741837.330942283968047/512683552460585/?type=3,2018-03-08 22:52:00,25,0,0,24,1,0,0,0,0,0,N/A
1075223355877711_1683759458357428,"No Buffet El Patron. Experimente nossas opções de massas, carnes, saladas e muito mais. Vem almoçar com a gente!🍽 #BuffetElPatron #Almoço #Delicioso",,video,https://www.facebook.com/elpatronbelem/videos/1683759458357428/,2018-05-07 08:45:38,1,0,0,1,0,0,0,0,0,0,2
473765826091943_1168513343283851,Sexta linda chegando e o salmão gostoso saindo com desconto! Hoje qualquer prato de salmão sai por apenas R$36 pedindo pelo nosso app Santé Delivery com cupom de desconto. Não esquece que tem taxa grátis para pedidos até 11h🍅🍽,Timeline Photos,photo,https://www.facebook.com/SanteSaudavel/photos/a.477306952404497.1073741828.473765826091943/1168513343283851/?type=3,2018-01-19 08:04:05,0,0,0,0,0,0,0,0,0,0,N/A
182758208432417_1801985793176309,"Salmão In Namoratto

Esse é um prato leve e delicioso. Já experimentou? Fica a dica para o próximo jantar no Famiglia.",,photo,https://www.facebook.com/famigliasicilia/photos/a.791920087516223.1073741829.182758208432417/1801985769842978/?type=3,2018-01-16 06:28:44,10,0,0,9,0,1,0,0,0,0,2
2088581698033618_2486840011541116,"Comece a semana com nosso audacioso Edgar Poe. Você pode acompanhar com uma breja, ou se preferir escolha nossos drinks. 🤘

#beer #cerveja #ontap #pub #melhorescervejas
#beerlovers #beeradict #cerveza #happyhour #cervejagelada #cervejao #cervejartesanal #cervejando#cervejaoliquidosagrado #IronBelem #PubBelem",Timeline Photos,photo,https://www.facebook.com/ironpuboficial/photos/a.2091514204407034.1073741828.2088581698033618/2486840011541116/?type=3,2018-03-06 16:04:29,0,0,0,0,0,0,0,0,0,0,2
1097744557021807_1519983584797900,"Quinta tem playlist das Ousadas aqui no Ziggy no Laço da Rabiola! Elas vão mandar muito FUNK, POP, BREGA E HIP HOP pra dançar muito com os migxs. Bora que a entrada é free até 20h (depois fica R$ 10 a noite toda).",,status,,2018-05-01 08:30:00,1,0,0,1,0,0,0,0,0,0,N/A
550551258323885_1708699215842411,"Nesta sexta as mulheres que chegarem até meia noite, vão ganhar um drink lagoa azul por nossa conta. 
Lembrando que ainda tem aquele pagodinho top com Grupo Exatamente, Gamadinho e o Dj Betynho quebrando tudo nos intervalos.",,photo,https://www.facebook.com/Armazemdomoreira/photos/a.558617040850640.1073741828.550551258323885/1708697179175948/?type=3,2018-05-17 18:27:00,78,12,2,71,7,0,0,0,0,0,4
284867051585421_2001813193224123,Vamos assistir a final da copa verde juntos? #vemprodom em seguida teremos música ao vivo com Beto Meireles 😍,,photo,https://www.facebook.com/DomSpetto/photos/a.603290106409779.1073741828.284867051585421/2001813133224129/?type=3,2018-05-16 10:17:21,3,0,0,3,0,0,0,0,0,0,1
292079807493212_1874083099292867,Remanso Mango direto da fábrica da Amazon Beer para avisar que ela tá na área e tá voltando pra casa. Podem mandar bala! 😎 🍻,,photo,https://www.facebook.com/RemansoDoBosque/photos/a.315327405168452.81397.292079807493212/1874082435959600/?type=3,2018-02-27 09:00:00,19,0,0,18,1,0,0,0,0,0,N/A
1680039782264247_2119264578341763,"É amanhã! Ainda temos mesas disponíveis, traga sua rainha ou seu rei para comemorar conosco o dia dos namorados! 👑❤
.
Teremos as mesas habituais para os casais, decoração característica e um super show com MAGIC BOX. Reservas pelo direct e whatsapp no 99151.7063.",Instagram Photos,photo,https://www.facebook.com/sirblackpub/photos/a.2053367704931451.1073741830.1680039782264247/2119264578341763/?type=3,2018-06-11 13:50:18,1,0,0,1,0,0,0,0,0,0,N/A
1549061578692287_2044198069178633,Um pouco da Hells Bar n Burgers😍😍,,video,https://www.facebook.com/HellsBarNBurgers/videos/2044198069178633/,2018-05-26 10:00:49,9,0,0,7,2,0,0,0,0,0,N/A
